Time,Frame,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
23-36-53.820,136,-0.028,0.068,0.641,-490.127,-218.041,-33.189,17,13,-28,6.94,-14.60,-101.12,0.635,-0.060,-0.127,-0.760
23-36-53.830,137,0.081,0.133,0.387,-601.960,-199.623,-56.849,16,15,-25,2.03,-16.72,-101.66,0.627,-0.102,-0.105,-0.765
23-36-53.844,138,0.155,0.159,0.244,-628.520,-177.465,-80.451,15,18,-20,-3.86,-18.70,-102.26,0.615,-0.147,-0.076,-0.771
23-36-53.851,139,0.225,0.186,0.101,-555.734,-143.302,-88.066,14,21,-16,-9.84,-20.51,-102.91,0.599,-0.191,-0.045,-0.776
23-36-53.860,140,0.260,0.264,0.006,-431.135,-118.642,-79.513,13,22,-12,-15.03,-22.07,-103.50,0.583,-0.228,-0.017,-0.780
23-36-53.871,141,0.272,0.318,0.029,-299.365,-94.676,-55.835,12,23,-9,-18.91,-23.38,-103.90,0.569,-0.257,0.003,-0.781
23-36-53.881,142,0.314,0.153,0.032,-222.063,-68.562,-19.446,11,23,-7,-21.74,-24.42,-104.08,0.559,-0.277,0.018,-0.781
23-36-53.891,143,0.364,0.046,0.145,-149.922,-30.998,3.226,11,24,-6,-23.91,-25.07,-103.97,0.553,-0.292,0.029,-0.780
23-36-53.901,144,0.336,-0.012,0.385,-86.898,7.046,16.523,11,24,-5,-25.40,-25.29,-103.80,0.549,-0.300,0.037,-0.779
23-36-53.911,145,0.317,-0.059,0.601,-64.827,31.697,26.522,11,25,-4,-26.28,-25.12,-103.68,0.549,-0.304,0.044,-0.778
23-36-53.921,146,0.359,-0.162,0.675,-88.028,35.651,36.952,12,25,-3,-27.01,-24.69,-103.53,0.549,-0.304,0.051,-0.777
23-36-53.931,147,0.370,-0.268,0.686,-116.114,31.219,46.398,12,25,-2,-28.00,-24.21,-103.34,0.549,-0.306,0.059,-0.776
23-36-53.941,148,0.246,-0.282,0.764,-154.631,28.200,54.054,13,25,-1,-29.33,-23.71,-103.05,0.548,-0.310,0.070,-0.774
